"nonmucinous_low","nonmucinous_high","mucinous_low","mucinous_high","GCA_low","GCA_high","SRCC_low","SRCC_high"
-0.0148098609494614,-0.0767010189052456,-0.0306682686347343,-0.015611590390304,-0.00359469514125217,0.0870429829575417,NA,0.0821979774196806
-0.0779663214908878,-0.0597636630717479,-0.0220528537821783,0.04275576768675,-0.0082576613277268,0.0262730104605339,NA,0.0851554414920732
-0.00418744630673812,-0.0788958359509921,-0.0302431598570306,0.0461037090343253,-0.00998607158468718,0.0336270295582255,NA,0.13596896866221
-0.00477191030037066,-0.0790912440457537,-0.0192015605022734,-0.0276963102462938,-0.019173155514152,0.0652014913292314,NA,0.149728635265639
0.0461357070978817,-0.0534416156365847,0.0262176913556232,0.0299820303107347,0.0129043795517629,0.0430607900688221,NA,0.0361820626833946
-0.050810002428302,-0.0806759377209825,-0.0241953402948791,-0.0380027260440838,-0.0197598597102706,-0.03402369023421,NA,0.0256965019587462
-0.0179071143297385,-0.0885528815204446,-0.00780005296569383,-0.00111073739661144,0.00501002208923207,0.0373220281443881,NA,0.0274967952999088
-0.0255247334448894,-0.056992666972064,0.00689095184541533,-0.0377749070679508,-0.0267433071165404,-0.0401780894767018,NA,0.0460931873360513
-0.000270772663092722,-0.123289703061475,-0.0103826657071931,0.0175143831799141,0.00259830172156912,0.057098821117761,NA,-0.00698501732710655
-0.0533400487995227,-0.0678622327770677,-0.0399141631458783,-0.0352207437031481,0.0161610100247427,0.0306548977859686,NA,0.0975619245132517
-0.0347958438825003,-0.0895844642872952,-0.0393237696290953,-0.0559150120575164,0.0118135570417126,0.0331611391666326,NA,0.158515311174366
-0.0751140191801069,-0.0922754220692265,-0.0164000521207381,-0.082884308870065,-0.00454341985298452,0.0142250992588817,NA,0.0113032404189248
-0.0466276894456107,-0.0862434187737502,-0.00028033136933911,-0.0303532490603327,0.00677022911226022,-0.0343757045709168,NA,-0.0333385628084829
-0.0218123755778369,-0.0502794179876872,0.0227840735883419,0.000433038045308087,-0.0283881074476686,-0.0123908595206134,NA,0.0494524355077921
-0.0315757820904382,-0.0713747472409917,-0.000263833944734448,0.00527062724726013,-0.010338744099843,0.047731024176669,NA,-0.0374856085714792
-0.0421148842153745,-0.0504821657405041,-0.0129559278894711,-0.0408192844175101,-0.00861298139851077,0.00838022865433541,NA,0.0875178569295453
-0.0296438791026573,-0.0227978371631858,-0.0173025103455,-0.0433345545208818,-0.0153029404740799,0.0191131866038803,NA,0.042401435197364
-0.0446906946332314,-0.0471111289646743,-0.0113713706103432,-0.0658191904934285,-0.0367413762758308,0.0604719583778642,NA,-0.0208033392067355
-0.0453896084102205,-0.063831296491675,0.0163707437547502,0.00306965022814504,-0.0255689323344899,0.0603245886009037,NA,0.0847453956153531
-0.125882707176816,-0.119431021927902,-0.0234289301371036,-0.0596608373395273,0.0127183766008656,-0.0401859972756771,NA,0.015319417033087
0.0599096097629082,-0.0637911477653932,-0.0332489185877545,-0.0429260004236079,-0.0158052635801335,-0.00640947434463471,NA,-0.094629751389623
-0.0535520687354689,-0.0628865083378745,-0.0274818205425739,-0.052785410897376,-0.0175135281543094,-0.0302603372932924,NA,-0.00953809269303119
-0.0156412448617539,-0.126269554732378,-0.0194961499384172,-0.0465353773379295,-0.0246630983577488,-0.0191316731939926,NA,0.131211911646415
0.00846027562354898,-0.030598644353312,-0.0249044372302974,-0.0474968844814601,-0.0151416746531163,0.0162389987201383,NA,-0.0377713177096036
-0.0414452631561588,-0.103616916575057,-0.0226506627162239,-0.0440986359309994,-0.0200897810865521,0.0245297953351234,NA,0.0700572723516432
-0.00549233123594572,-0.087554910916469,-0.030914484165991,-0.0450684464522502,0.00390962411808039,0.0744742318983808,NA,0.0978768609064177
-0.039659854430417,-0.0962589054040194,-0.0214829458201176,-0.0655922337753482,-0.0294670965136734,0.00970450710429474,NA,0.0141099926645462
-0.0119757800701079,-0.0791284998011987,-0.0336268268669973,0.0219801646063126,-0.0329328377616924,0.00903185608265847,NA,0.0368012879069018
