"subgroup","histology","risk_half","overall_median_nodal_risk","n","n_limited","n_colectomy","ESS_limited","ESS_colectomy","max_weight","max_abs_wSMD","worst_balance_variable","balance_pass","RD","RD_pp","lo","hi","lo_pp","hi_pp","effective_B","insufficient"
"nonmucinous_low","nonmucinous","below median",0.166374066843549,764,331,433,321.055233336987,415.686669803092,0.878862698157387,0.00737200791325529,"nodal_risk",TRUE,-0.0238176202326752,-2.38176202326752,-0.0872792651194086,0.0307636124383728,-8.72792651194086,3.07636124383728,1000,FALSE
"nonmucinous_high","nonmucinous","at/above median",0.166374066843549,1506,511,995,495.025495763722,910.694272038371,0.948166959456842,0.0010615916748213,"nodal_risk",TRUE,-0.079527582082106,-7.9527582082106,-0.135625402482811,-0.0247022358697864,-13.5625402482811,-2.47022358697864,1000,FALSE
"mucinous_low","mucinous","below median",0.166374066843549,1164,627,537,544.249836611623,485.126660337464,0.84834182943156,0.0222970800577539,"nodal_risk",TRUE,-0.0224887406067314,-2.24887406067314,-0.0726022630130509,0.028695649929996,-7.26022630130509,2.8695649929996,1000,FALSE
"mucinous_high","mucinous","at/above median",0.166374066843549,918,384,534,349.592923141063,480.280899397273,0.876470525265582,0.00777590415807561,"nodal_risk",TRUE,-0.0266162485403154,-2.66162485403154,-0.101464150446297,0.0396435147838997,-10.1464150446297,3.96435147838997,1000,FALSE
"GCA_low","GCA","below median",0.166374066843549,1512,677,835,620.651127856623,773.642177519276,0.848517238679365,0.00115749266935342,"nodal_risk",TRUE,-0.00959786789371169,-0.959786789371169,-0.0399250746038698,0.0168907701602736,-3.99250746038698,1.68907701602736,1000,FALSE
"GCA_high","GCA","at/above median",0.166374066843549,752,244,508,237.089770558664,463.605590307574,0.829341921104165,0.00402759491779379,"nodal_risk",TRUE,0.0165865277533676,1.65865277533676,-0.0474462744704014,0.0800965650506954,-4.74462744704014,8.00965650506954,1000,FALSE
"SRCC_low","SRCC","below median",0.166374066843549,17,5,12,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,4,TRUE
"SRCC_high","SRCC","at/above median",0.166374066843549,273,80,193,77.8367128266928,166.909308670579,0.90746298417927,0.00120476189711052,"nodal_risk",TRUE,0.0319163521046057,3.19163521046057,-0.0953371816173273,0.167377926769491,-9.53371816173273,16.7377926769491,1000,FALSE
