"replicate","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct"
1,0.00682877874602713,-0.0219905027353002,0.0161613975884795,-0.0324897647291967,-0.0651664214669991,0.0196054016590783,0.018505591786782
2,-0.00321605973462088,-0.0559777474018857,-0.0589893657256655,-0.0573583797613111,-0.067065213887404,0.0442949347011068,0.0298071912127379
3,-0.0463971538545837,-0.0307009003223791,0.0088469617147155,-0.0724776081572708,-0.110422792403966,-0.0674606219401468,-0.0687293209510565
4,-0.00648511290340342,-0.0617333001889823,-0.0401375056066768,-0.0559541099710164,-0.0827581711011582,-0.00792830175281339,-0.0509470659715655
5,-0.037036921002249,-0.0725887143902041,0.00405907215700912,-0.11023690047501,-0.0527035423035303,-0.0422992840120331,-0.050727016822004
6,-0.0162933792773162,-0.0552032284108967,0.0696348979805651,-0.0906057842227282,-0.0531521463174415,0.0122640787639223,0.0215136634449332
7,-0.0438819850940676,-0.00535830354137863,-0.0362017983530579,-0.12246718773714,-0.0481684176455307,-0.0835729975933349,-0.0833736937399171
8,0.00279603314318277,-0.004290818698767,-0.0240293441996207,-0.0360581379339333,-0.0567361241520838,0.011971113789932,0.00997984841122329
9,0.00300348790987381,-0.0335075426116207,-0.030870815953072,-0.0200468416345679,-0.0743620175059241,-0.005201953745916,0.0054432006050962
10,-0.0161932391831206,-0.0304928082860698,-0.0460932468293728,-0.0717147887344912,-0.0407182828034383,0.00944389278698434,0.00631496001512061
11,0.00108045848480986,-0.0591487596680609,0.00518624084712563,-0.0000913689044697852,0.0212188821329975,0.0176535165325288,0.0128632861978925
12,0.00447346885399584,-0.0531256719565972,-0.0263417755538094,-0.0663778520636033,-0.16593897770876,0.0394447531490442,0.0313443885523308
13,0.011494201119538,-0.0397198640255762,0.0253780116991362,-0.04726759556608,-0.0448191720768423,0.0153334152507663,0.00939112499699257
14,0.00817531991439987,-0.0638710616039137,0.00819738376944962,0.0232685121107336,-0.0803747951475796,0.0198489420677903,0.0347198594890039
15,0.0223275912567705,-0.0388040984718276,0.00904540173229684,-0.0398718224188868,-0.0777176835256158,0.0553468900255197,0.0523534239315632
16,0.00176069419771718,-0.032919745369584,-0.0245055218627227,-0.0226365711631219,-0.0316766987622422,0.0305191519672764,0.0138490818390486
17,0.00255396417696324,-0.0596560724703004,-0.00785298295729601,0.000125637801951239,-0.0741812238811075,-0.0113122820716567,-0.00986593945948935
18,-0.000731608904212207,-0.0645298208263214,-0.0583007699636639,-0.0268182210186124,-0.0659917665959593,0.0301691501110899,0.0351635294487259
19,-0.0149742921599643,-0.00982934633432529,-0.00775297264918673,-0.0444224164109649,-0.0934308017338253,0.0110740551586214,0.0104053106676633
20,-0.0537538341532552,-0.0510443435991434,-0.0653031192080752,-0.121377453534354,-0.0803025400735628,-0.0191227423953655,-0.0111339617704465
21,-0.00660461693246429,-0.0510459535561018,-0.0192753047693265,-0.0778841059050971,-0.0481833159181834,0.0114816316341625,-0.000821881472409157
22,-0.0358310297746913,-0.0197273620673203,-0.0345311085436134,-0.0338742202095852,-0.0938198138255897,-0.0394766232120124,-0.0368933594847858
23,-0.0148085082308379,-0.0689015009568491,0.0304600348015729,-0.0806673849356128,-0.116513372433128,-0.0114985457905051,-0.012756618241581
24,-0.0262966598434435,0.00103653791340137,-0.0490769172032721,-0.089836291584288,-0.0557223102333767,-0.0141053293860006,-0.0284660047202555
25,-0.00102108423805146,-0.0581716059485689,-0.0479986253152659,-0.092393243955964,-0.0884766740496465,-0.0153279383951055,0.00398511099483206
26,-0.0407310670678771,-0.0495048523068454,-0.0301802926937771,-0.0297880104665699,-0.0424348434883629,-0.0160089031421614,-0.0343486393743622
27,0.012942906619418,-0.0654695506582828,-0.00127492981599939,-0.110198997087979,-0.0710344121834046,0.0319420450361115,0.032361572533767
28,-0.0080933883298425,-0.0851208617858111,0.00493487649801225,-0.0596264612683167,-0.0219073200698127,-0.00856392764640611,-0.0121872472854442
29,-0.0233181502240633,-0.0509054131016227,-0.0237115122761888,-0.0268197643460089,-0.036140506057932,0.00281277541359805,0.00197917665900926
30,-0.00185633383761951,-0.0453616110860878,-0.104422974780318,-0.0640369309804782,-0.0658942799312361,0.0233542095325289,0.0184123376868442
31,0.0225581060120587,-0.047391750387952,-0.0232909631328294,-0.0859426602266417,-0.0114370699586457,0.0281324673701131,0.0291276001617726
32,-0.0187142246528893,-0.0556189824026998,-0.00273331469022797,-0.0383658632299526,-0.0594242707906877,-0.0307448294148582,-0.0474308748364711
33,0.013706322838825,-0.0340162391352935,-0.0043998270282955,-0.0310450614280588,-0.0662672761025865,0.00704338224471497,0.0305017861145974
34,0.038130546696196,-0.0687448201790338,-0.0441804916856361,-0.0867445666548002,-0.0214011018296198,0.03790892560715,0.0249998076149293
35,-0.0295183998312526,-0.0451374945533504,0.034773357372582,-0.0395451812825774,-0.120403687076643,-0.0104440652527312,0.020017151076905
36,-0.0103689419058398,-0.0730975559591779,-0.017402483437889,-0.0134182781715746,-0.0256309874836056,-0.0329380976641582,-0.0477774693749962
37,0.00993626205521048,-0.0139524085618772,0.027463129805994,-0.0233769060722936,-0.0916293785993137,0.0252909410248833,0.0397694821683234
38,-0.00252434071052277,-0.0558793159353628,0.00950091977624108,-0.0902134174985651,-0.0986588877568732,0.0340741906414154,0.0325678502915766
39,-0.00378013180680361,-0.0379304096450827,-0.0307779277173022,-0.0174829823270898,-0.0394242150604469,0.0226783562989563,0.023982249257415
40,0.00266166642963261,-0.0191206339453271,-0.0301573155812308,-0.0840019681455725,0.029257700976711,-0.0114238802629244,0.0361030083178107
