"replicate","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct","overall"
1,-0.0105329897820726,-0.0550918003421551,-0.0357951449899369,-0.070541114398,-0.0975617356026741,0.0517385456051629,0.0854908924079686,-0.0537361602115622
2,0.00616348837547096,-0.0420205976254164,-0.0476832305428697,-0.0363970748469184,-0.0326778329373738,0.0189111798358772,0.00227096633503512,-0.0322437770382563
3,0.0146737862891784,-0.0564918908530689,0.0237804523893309,-0.0492266054918993,-0.0253339032900762,0.0392421241576118,0.0241268617788397,-0.0212665997332269
4,0.00356515000193321,-0.0505892753664421,0.0155586108846313,-0.0266137730572796,-0.0847523592028802,-0.0117733190810851,-0.00899209322230792,-0.0283240270025184
5,-0.0103567922873763,-0.0253241587962577,-0.0663379717198287,-0.0256752426299746,-0.10934364253252,0.0476077505590169,0.0411841714498376,-0.0474781332119782
6,0.0171687614662811,-0.0180008342831864,-0.0277846963284335,-0.049192074549612,-0.0912759968702643,0.0282327135363747,0.0282219889999371,-0.0304753284984101
7,-0.000957923839753252,-0.0243738279485605,-0.0572138722143365,-0.0383678369141443,-0.0786133292437106,0.0256507402342574,0.0158640148332239,-0.0406554869022321
8,0.0376190711763591,-0.0510445383882559,-0.0255358931115381,-0.0292445259568674,-0.0532328179761998,0.0868009995976804,0.0618689720703357,-0.0238457388908637
9,0.00715745415531728,-0.0282332301598502,-0.00725973739751529,-0.0550080583164534,-0.00634536341365066,0.0395628693343367,0.0393447854631538,-0.0178829180465469
10,-0.0158560412642534,-0.0479698991307539,0.000454092978742271,-0.0686381396146412,-0.0459480941218349,-0.0180426571248647,-0.00324897797835701,-0.0347755749247724
11,0.00444140212645714,-0.0213724913408035,-0.0139612366364019,-0.103470306226423,-0.0180852340212346,0.0823303281015853,0.107509695186306,-0.0301828211290462
12,-0.00772741148843609,-0.0678845537056477,-0.0384658349803934,-0.0562611972026024,-0.0859172083212239,0.00641813656842832,0.0190671955005739,-0.0476179700311758
13,-0.00188029963459341,-0.0664404950798897,0.0175516690084187,-0.0331582988459906,-0.0653808385158318,0.0378397767916487,0.0277947496539528,-0.0264865423858014
14,-0.000589125176869335,-0.0281544055812961,-0.0377999139310458,-0.0123224297385024,-0.0519185215746647,0.00950316757894615,0.00121056620651452,-0.0233301733372891
15,0.00519453719481373,-0.0577918996405158,0.0328215400281756,-0.0101355559534819,-0.02982692232912,0.0300358832641671,0.010756678690698,-0.0126797766736399
16,0.0193925086972724,0.00449686394503883,-0.00974691663344388,-0.0137417434085252,-0.101931045901383,0.0359510310478713,0.00437305551840685,-0.0187647462993937
17,-0.00933999383785236,-0.0682222013040997,0.00779841988468261,-0.0528418231523412,-0.0452032677166657,0.0167123471867888,0.0275934684102067,-0.0304479054744902
