"analysis","RD","RD_pp","lo","hi","effective_B.x","lo_pp","hi_pp","upper_possible_reduction_pp","criterion_2pp","criterion_3pp","criterion_5pp","other_RD_pp","other_lo_pp","other_hi_pp","effective_B.y"
"Q1",-0.00170196340185069,-0.170196340185069,-0.0355828312725723,0.0281262629621735,1000,-3.55828312725723,2.81262629621735,3.55828312725723,FALSE,FALSE,TRUE,-4.67898892622951,-7.25000332647324,0.119938718676416,1000
"Q2",-0.0360440720015792,-3.60440720015792,-0.0802427137213053,0.0130241376422814,1000,-8.02427137213053,1.30241376422814,8.02427137213053,NA,NA,NA,-2.0695184905828,-6.55551307334783,1.32003489384678,1000
"Q3",-0.00204167087469409,-0.204167087469409,-0.0698877152582174,0.0380248268267582,1000,-6.98877152582174,3.80248268267582,6.98877152582174,NA,NA,NA,-3.09988808231799,-8.85286946700808,0.0703475934687047,1000
"Q4",-0.0443205938485178,-4.43205938485178,-0.084948830709738,0.0256429969882707,1000,-8.4948830709738,2.56429969882707,8.4948830709738,NA,NA,NA,-4.85283887428964,-8.93962128709332,-0.713703475677781,1000
"Q5",-0.050665579934397,-5.0665579934397,-0.120964439574106,0.0125830595471861,1000,-12.0964439574106,1.25830595471861,12.0964439574106,NA,NA,NA,-0.66067887067468,-3.8070461559158,3.47253706680048,1000
"bottom_decile",0.0205301634344254,2.05301634344254,-0.0279784678691236,0.060726353599422,1000,-2.79784678691236,6.0726353599422,2.79784678691236,FALSE,TRUE,TRUE,-1.54015278650961,-7.11456244353769,3.57724101037356,1000
"risk_lt_5pct",0.0292684043343799,2.92684043343799,-0.0315302122837065,0.0743238094681816,1000,-3.15302122837065,7.43238094681816,3.15302122837065,FALSE,FALSE,TRUE,0.600040929865477,-6.95764444142775,4.36038170019995,1000
