"analysis","RD","RD_pp","lo","lo_pp","hi","hi_pp","upper_possible_reduction_pp","effective_B","criterion_2pp","criterion_3pp","criterion_5pp","full_corrected_RD_pp","point_change_vs_full_pp","old_S9_RD_pp","point_change_vs_old_S9_pp","n","limited","colectomy","cancer_events_limited","cancer_events_colectomy","CIF_limited_pct","CIF_colectomy_pct","ESS_limited","ESS_colectomy","max_weight","max_abs_weighted_SMD","worst_variable","balance_pass"
"Q1",-0.0109438025136766,-1.09438025136766,-0.0438969368783174,-4.38969368783174,0.0223333541256527,2.23333541256527,4.38969368783174,1000,FALSE,FALSE,TRUE,-0.170196,-0.92418425136766,-0.6,-0.49438025136766,1219,700,519,30,18,5.72464800127197,4.63026774990431,651.431185242357,501.342911690938,0.874309442707879,0.00797727886660623,"nodal_risk",TRUE
"Q2",-0.0522637386457316,-5.22637386457316,-0.0887162552914383,-8.87162552914383,-0.000925565941897574,-0.0925565941897574,8.87162552914383,1000,NA,NA,NA,-3.604407,-1.62196686457316,-5,-0.226373864573161,1218,633,585,50,29,12.0224909965315,6.79611713195833,571.837954652622,545.219177535148,0.863453081930414,0.00192132890124382,"nodal_risk",TRUE
"Q3",-0.00986805450190306,-0.986805450190306,-0.0801218548165045,-8.01218548165044,0.0318017730858673,3.18017730858673,8.01218548165044,1000,NA,NA,NA,-0.204167,-0.782638450190306,-1.5,0.513194549809694,1218,587,631,59,57,12.9745993550407,11.9877939048504,532.082148918366,580.528851137315,0.840780545301327,0.00312326432057121,"nodal_risk",TRUE
"Q4",-0.0585290385338703,-5.85290385338703,-0.110100549914424,-11.0100549914424,0.0215925534653393,2.15925534653393,11.0100549914424,1000,NA,NA,NA,-4.432059,-1.42084485338703,-6.6,0.747096146612971,1218,503,715,98,102,24.2481247800846,18.3952209266976,477.565373904832,665.250118709547,0.85453202990911,0.0042122241436254,"nodal_risk",TRUE
"Q5",-0.0642927850922543,-6.42927850922543,-0.128929858253965,-12.8929858253965,0.00224532596787395,0.224532596787395,12.8929858253965,1000,NA,NA,NA,-5.066558,-1.36272050922543,-7,0.570721490774567,1218,436,782,140,210,39.0167898847633,32.5875113755379,424.21266079252,738.229195146597,0.809028289092101,0.00141333422305874,"nodal_risk",TRUE
"bottom_decile",0.0121252536426013,1.21252536426013,-0.0405655736427838,-4.05655736427838,0.0549975488054279,5.49975488054279,4.05655736427838,1000,FALSE,FALSE,TRUE,2.053016,-0.840490635739873,NA,NA,610,363,247,11,11,4.38156677278062,5.59409213704075,326.833313355403,235.425701233134,0.901600909296825,0.0159345512972941,"nodal_risk",TRUE
"risk_lt_5pct",0.0199500536856032,1.99500536856032,-0.0412461039090977,-4.12461039090977,0.0611551969537969,6.11551969537969,4.12461039090977,1000,FALSE,FALSE,TRUE,2.92684,-0.93183463143968,NA,NA,546,334,212,9,11,4.2011383460288,6.19614371458912,302.133255069618,202.126265482073,0.896558692565309,0.0110405997048449,"nodal_risk",TRUE
