"L3_Q1","L3_Q2","L3_Q3","L3_Q4","L3_Q5","L3_bottom_decile","L3_risk_lt_5pct","L6_Q1","L6_Q2","L6_Q3","L6_Q4","L6_Q5","L6_bottom_decile","L6_risk_lt_5pct","L12_Q1","L12_Q2","L12_Q3","L12_Q4","L12_Q5","L12_bottom_decile","L12_risk_lt_5pct"
-0.0229936933606842,0.0185956620649306,0.021239773957504,-0.0735170850040148,-0.0594013930620432,0.0213292157399118,0.0312735349494751,0.00995493545070003,-0.0533614369293009,0.0195644500680367,-0.023715446776087,-0.0659710144368247,0.0240727277932775,0.0246471088247485,-0.022876768483356,-0.00802237564511799,-0.0201351020570457,0.00734447318450504,-0.0508962862145466,-0.046811018590289,-0.0295564643826908
-0.00706572393585094,-0.0317811347342089,-0.00934848460494742,-0.0758752477523445,-0.016865302780823,0.00974601998431766,0.0320624715863725,-0.0172138812301266,-0.00863327268056167,-0.0347214272230148,-0.0584054988965407,-0.0517257357512331,0.0112181748820123,0.0182514253873217,-0.0269240997741454,-0.00565969146153086,-0.0687779530284026,0.0262317385585351,-0.0965363615238716,-0.0130953629131777,-0.00638577856591711
-0.00202427271766197,-0.0175036143202581,-0.02861232736109,-0.0331427545781293,-0.0653887312294623,0.0244362764643412,0.00577977847517541,-0.00184737990783746,-0.0500042682745604,-0.0428651270276565,-0.048497513995871,-0.0242833460190398,-0.00604294959408212,0.00193122428754303,-0.0140621077845218,-0.000432657259810926,-0.03811459297759,0.0143935938745311,-0.0870708020799875,-0.00536545741153834,-0.0232589792277705
-0.0012096714967777,-0.0372266774972938,-0.019669813790916,-0.048979366418987,-0.030836878739172,0.0223160550739438,0.0225613151420911,-0.0099053664772774,-0.0625030091509366,-0.0457737910802373,-0.00314376735297528,-0.0596228638357587,-0.00520963644174136,0.00707761575499168,-0.0029829659661343,-0.0743965650027255,0.0512743585056732,-0.0122690829446244,-0.0092700873571811,0.0233596798417492,0.0080736018965431
-0.000740917886132814,-0.0253555087856121,-0.0277751345489876,-0.0380022454793414,-0.0472779233509104,0.0218874417819667,0.0181175790767649,-0.0145856829725753,-0.0628532671247526,-0.0153191967544274,0.00795891326303969,-0.038908204197518,-0.00908536316503678,0.00593539009625609,-0.0104965478557771,-0.000331615280015518,-0.0109364112215788,0.0120316675251477,-0.12804193542057,0.000621615446930734,-0.0205384845154911
0.0190787208187012,0.00281703235717141,-0.0654528138807074,0.0118694344368075,-0.0043919246838075,0.00389807822145843,0.00667459064468022,-0.00426915777057192,-0.0666339020549145,0.0237333419310306,-0.0288892711138005,-0.0532658364769227,-0.0231220729155128,-0.0129367959405991,0.00208251301424937,-0.0172361410820591,-0.0140094476387354,-0.05452107678426,-0.0607854932669676,0.0538109191802143,0.0428384079325481
-0.0089225245449577,-0.0359795877569991,-0.0800053515484102,0.00311029891850748,-0.0447816804472986,0.000387455122173468,-0.00687123623452342,-0.00440110692285485,-0.0922483458601038,0.00360556911363083,-0.0492945736388659,-0.0134039005407651,-0.0446721328810947,-0.0371908392398666,-0.033058928880173,-0.00664156431651579,0.00168880655563931,0.0258583321851611,-0.0213074473235235,0.0501061959767379,0.02299060728899
-0.0180454921233665,-0.0343771395824057,-0.000115982399641695,-0.100177616565332,-0.0659717717906033,0.0257350185088426,0.0122754184975989,-0.00907997658508507,-0.0335619829282125,-0.0470953284576584,-0.0209336111816161,-0.0281793801354103,0.0315607463594473,0.0302398942812184,-0.0148631078136232,-0.0410882471360265,-0.0740083421973337,0.0360849629235631,-0.0254175327207302,-0.00225387594432111,-0.0174648010586761
-0.0257568284837868,0.0125998231929981,-0.015801593535809,-0.0465679409414611,-0.0852140362588392,-0.0272530888045864,-0.0000769885921798538,-0.00265240461070642,-0.0129178235175283,-0.0893497444600544,-0.0272828606669162,-0.0077273144826337,-0.0203771712936486,-0.017780645174178,-0.015490593111764,-0.00577610563977431,-0.0194038930656094,0.0178551900573841,0.0157293782883392,0.0180056879464243,0.0111802066415296
-0.0241970909653864,-0.0663604693698663,-0.0183181607616249,-0.054424973648414,-0.0114663557635066,0.0114010713998239,0.0173975554950891,-0.0186963886098444,-0.0156376947912899,-0.045879863060349,-0.022159968994978,-0.0805669736778022,0.000406662202428368,-0.00287027557597515,-0.0324124872400868,-0.0331836959983421,-0.00376164473760535,-0.0391600053600564,-0.0228621665746084,-0.00272198568901107,0.00149944846970647
-0.0283633486155198,-0.0541196848010546,-0.00268428654413294,-0.0162155700408448,-0.0496454440444843,-0.0171736997604128,-0.0390413405331235,-0.0314393332954381,-0.0361790420627973,-0.00794197389443102,-0.00986263399138851,0.00331986037019699,-0.0131066782829963,-0.00173543603926753,0.00117617628550141,-0.0246408523305011,0.0299108941171207,-0.0480597888102413,-0.0498596902864825,0.0035743423089289,0.00334101193849085
0.00994032027918797,-0.0286166341200928,0.0255820806996785,-0.0798494419838586,-0.0202623381192267,0.0189146515322201,0.0172101501079196,-0.0178569678207533,-0.0369396535853705,0.0209986909628795,-0.0611486357214886,-0.0646637576394745,0.0107382636460189,0.0234076354008096,-0.0240564312102618,-0.00688825259774759,-0.00319890987318419,0.00384612765405068,-0.0442083312698754,-0.00213112047701121,-0.0255777421689783
-0.0155229276296916,-0.0331844916048182,-0.0291570461561576,-0.0810633428357711,-0.064565589964023,0.000861431442839414,0.0171219880796661,-0.0217760521844612,-0.0192510196737483,-0.0419167145236774,-0.0140991351857887,-0.0919238959764879,-0.0154255654885087,-0.00834831884741643,-0.00606319937423929,-0.0568225859487892,-0.0559083036534826,0.0360045906251382,0.0111854730594682,-0.00115207477042847,-0.00120627732511736
-0.0179811512258301,0.0297504485516721,-0.0254145460548403,-0.0211079381307155,-0.0224137161888246,-0.016307062827427,-0.0129735239340946,-0.00530319787358511,0.00719761812305672,0.0282018160642664,-0.0247342953578599,-0.0368404731480553,-0.00539203726058463,-0.0000375859055102706,-0.00957816101073607,-0.0376913388248223,0.0466588299478816,0.0151460393601584,-0.0805494618419643,-0.0209088913501035,-0.0219738213791769
-0.0106304449032901,-0.0210846469106192,0.0217990486583363,0.0309918077617498,0.0146725841115355,0.0225140425243534,0.0143529960157145,-0.0428658547405807,-0.0068182018434383,-0.0355207215998061,-0.0123103021753935,-0.0945587663069167,-0.00416471081345324,-0.0183458954414809,-0.0263277168567765,-0.0184801966185021,-0.0178438010962981,-0.0421901350568133,0.00373479587453279,0.0236374299019066,0.0161372284746711
0.0166164744795336,-0.0188012972646701,-0.0225391310091906,-0.0622357264453794,0.0337773011042217,0.00466106313944744,-0.00602522454802296,-0.0273261479633165,-0.0284114221851484,-0.00220906430596657,-0.0188152224730643,-0.046286371655761,-0.0322787160135942,-0.0322787160135942,0.00680160009193003,-0.0449130935617042,-0.0428275943236169,0.0111619870164054,-0.0486270440986451,-0.0244007668373052,-0.0138596564782743
-0.0176391970026627,0.0146256905582598,-0.0151617803872098,-0.0155569966202783,-0.0317632271283206,0.00962098339595507,-0.00298905557077088,-0.0202980486107249,-0.0129888169338123,-0.0489905907662899,-0.00374836845351204,-0.0756254779858461,-0.0273806885984095,-0.00546924828443981,-0.0152499196976666,-0.0119342580254064,-0.0305408983459387,0.0023578475017412,-0.0100512117428921,-0.0124490428811432,-0.0121597936202683
-0.00702630949719601,-0.0339810120760501,0.00735808059928791,-0.0774286708153216,0.0308921848820213,0.0100690593477611,0.00531563129782988,-0.00256621159749343,-0.0316778626236463,-0.0597943473702588,-0.079542258972635,-0.0273237524353169,-0.00193068428927815,-0.0229266923515132,0.00141407364717495,-0.0125368452839467,-0.0448152894650174,-0.0249111840906558,0.0169097218681332,0.0286054483169749,0.0455084302636468
-0.0104549155707634,-0.0148340403446289,0.025434522652906,-0.0280905783671648,-0.0202102546318052,0.0103624508179604,0.0315787099621768,-0.0205585982917168,-0.020780653789549,-0.0347303819076064,0.0018532259466377,-0.0403085943115264,-0.000688910158992743,-0.00731169412642742,-0.0182896465659118,-0.0125358839242153,0.0553702266560878,0.0363504929925967,-0.0321824983114051,0.0344895029694028,0.031221019363994
-0.0221675217750756,-0.000231279016287805,-0.0141316825374124,-0.0182881217653899,-0.0745472151682648,0.0175573984267782,0.0182239262265479,0.00440564258949849,-0.0488353141733543,-0.00169088113371108,-0.0503298425308344,-0.0666103991182482,0.0374708485732129,0.0209169918817356,-0.0151489407703982,-0.0161801336412307,0.0162407619922572,-0.0524242641064293,-0.000461512134361519,-0.0231619234960252,-0.0355081671339675
0.00306049008537956,-0.0136646041554041,0.0334457724343758,-0.0523514182187117,0.0196188454829826,0.00336693985903505,0.00775804481810251,-0.00739311694500538,-0.0235840073301251,-0.0654935046271936,-0.024029517824339,-0.0174013080325848,0.02329407613682,0.0693678580435428,-0.0228710096016883,-0.0127894403106648,-0.0314866191255322,-0.0154095930778736,-0.0654429744438943,-0.0177427795950358,-0.0147484272906104
-0.0235051599226168,-0.0398156168262624,-0.000454870990536538,-0.0278654809816191,-0.113940632219009,0.00382370575301268,-0.00969687288077871,-0.0168935756754592,-0.0423835944321262,0.0133816184884002,-0.050409546777499,-0.0496616196539135,-0.0167810503538276,-0.018378829065456,0.0255979541257497,-0.0406895415177325,-0.0314268417280212,-0.000881535156019769,-0.0699418452232676,0.0570436227974345,0.0541109083405173
