"analysis","subgroup_OW_RD_pp","subgroup_OW_lo_pp","subgroup_OW_hi_pp","global_no_stage_OW_RD_pp","global_no_stage_OW_lo_pp","global_no_stage_OW_hi_pp","point_change_pp"
"Q1",-0.170196340185069,-3.55828312725723,2.81262629621735,0.340069491563477,-2.88436821186495,3.55580669465051,-0.510265831748546
"Q2",-3.60440720015792,-8.02427137213053,1.30241376422814,-3.49588014319678,-7.8592370810382,1.67078704090192,-0.108527056961142
"Q3",-0.204167087469409,-6.98877152582174,3.80248268267582,-0.210960573367078,-6.6574109001703,4.378343361156,0.00679348589766895
"Q4",-4.43205938485178,-8.4948830709738,2.56429969882707,-4.57067786239821,-9.27590563824088,2.49019166105124,0.138618477546432
"Q5",-5.0665579934397,-12.0964439574106,1.25830595471861,-6.01262848632925,-12.4657707622785,0.448224449751224,0.946070492889554
"bottom_decile",2.05301634344254,-2.79784678691236,6.0726353599422,3.10737135141731,-1.43185310854808,6.94347108834233,-1.05435500797477
"risk_lt_5pct",2.92684043343799,-3.15302122837065,7.43238094681816,4.25786509824776,-1.78772288265218,7.63894409400289,-1.33102466480977
