"subgroup","histology","risk_half","n","limited_n","colectomy_n","ps_p01","ps_p99","max_weight","ess_limited","ess_colectomy","max_abs_smd_all","n_smd_gt_010_all","max_abs_smd_legacy18","n_smd_gt_010_legacy18","status"
"nonmucinous_low","nonmucinous","low",767,332,435,0.309724111198957,0.801680058922642,0.883291158575996,319.468960093952,410.522524487153,0.0123533712061588,0,0.0123533712061588,0,"OK"
"nonmucinous_high","nonmucinous","high",1522,518,1004,0.373602049723326,0.871936769522744,0.938183692202479,501.572090651048,917.0284521159,0.000277919360534172,0,0.00993712263900984,0,"OK"
"mucinous_low","mucinous","low",1171,630,541,0.164910945421414,0.814218627397032,0.847605944372526,546.076013101759,487.752533972747,0.0201096644464613,0,0.0370189055604037,0,"OK"
"mucinous_high","mucinous","high",923,386,537,0.177624751081878,0.859609496492038,0.893134284617244,347.587751722065,477.114145426065,0.00767288138516892,0,0.0242689568723233,0,"OK"
"GCA_low","GCA","low",1520,680,840,0.154680138820195,0.791028818473902,0.854970080376058,622.59382623634,777.768750101048,0.0018386368263694,0,0.0305973488598221,0,"OK"
"GCA_high","GCA","high",758,246,512,0.373958931221151,0.834531387903905,0.831574659482207,239.322574270417,468.271361532669,0.00478096539882606,0,0.0149215433538991,0,"OK"
"SRCC_low","SRCC","low",17,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAILED: Insufficient treatment-group size."
"SRCC_high","SRCC","high",273,80,193,0.372949348209374,0.938902754761993,0.906692663161107,77.8452987770477,166.832856534427,0.00117526048621777,0,0.00801802693867711,0,"OK"
