"analysis","m_effective","pooled_RD","pooled_RD_pp","Ubar","B_between","total_variance","SE_pp","df","lo_pp","hi_pp","upper_possible_reduction_pp","criterion_2pp","criterion_3pp","criterion_5pp","mean_bootstrap_B","min_bootstrap_B","Step1B_RD_pp","change_vs_Step1B_pp","Step2A_pooled_RD_pp","point_check_vs_Step2A_pp"
"Q1",20,-0.00949761080872498,-0.949761080872498,0.000262562266560683,0.0000455681206524475,0.000310408793245753,1.76184219851198,799.688404237742,-4.40814261640476,2.50862045465977,4.40814261640476,FALSE,FALSE,TRUE,1000,1000,-0.170196340185069,-0.779564740687429,-0.949761080872499,0.000000000000000555111512312578
"Q2",20,-0.027274753744178,-2.7274753744178,0.000539723118424395,0.0000874130290041963,0.000631506798878801,2.51297990218545,899.45351839177,-7.65946213262743,2.20451138379183,7.65946213262743,FALSE,FALSE,FALSE,1000,1000,-3.60440720015792,0.876931825740119,-2.7274753744178,-0.00000000000000133226762955019
"Q3",20,-0.00902092942852082,-0.902092942852082,0.000725013667806684,0.00011953939533411,0.0008505300329075,2.91638480469828,872.433232812979,-6.62604302008534,4.82185713438117,6.62604302008534,FALSE,FALSE,FALSE,1000,1000,-0.204167087469409,-0.697925855382673,-0.902092942852082,0.000000000000000333066907387547
"Q4",20,-0.0342813256002868,-3.42813256002868,0.000874253241080355,0.00018448058385205,0.00106795785412501,3.26796244489591,577.539778598516,-9.84667225775834,2.99040713770098,9.84667225775834,FALSE,FALSE,FALSE,1000,1000,-4.43205938485178,1.0039268248231,-3.42813256002868,0.00000000000000133226762955019
"Q5",20,-0.0540945513461383,-5.40945513461383,0.00102800035978923,0.000115687115078381,0.00114947183062153,3.39038615886381,1701.38142150969,-12.059220492647,1.24031022341938,12.059220492647,FALSE,FALSE,FALSE,1000,1000,-5.0665579934397,-0.34289714117413,-5.40945513461383,0
"bottom_decile",20,0.0144174876147008,1.44174876147008,0.000499390677116059,0.0000381645384006174,0.000539463442436707,2.3226352327404,3443.33291198828,-3.11213336777182,5.99563089071198,3.11213336777182,FALSE,FALSE,TRUE,1000,1000,2.05301634344254,-0.611267581972459,1.44174876147008,0.00000000000000155431223447522
"risk_lt_5pct",20,0.0174559825129749,1.74559825129749,0.000572363964532229,0.0000537858929523775,0.000628839152132225,2.50766654906952,2355.68590508618,-3.17186446797232,6.66306097056729,3.17186446797232,FALSE,FALSE,TRUE,1000,1000,2.92684043343799,-1.1812421821405,1.74559825129749,-0.00000000000000377475828372553
