"analysis","variable","weighted_smd"
"risk_lt_5pct","grade4",0
"risk_lt_5pct","nonmuc",0.183956182900853
"risk_lt_5pct","muc",0.160775248596366
"risk_lt_5pct","SRCC",0.116468522575861
"risk_lt_5pct","race_black",0.0503917208555664
"risk_lt_5pct","race_white",-0.076518938181698
"risk_lt_5pct","race_other",0.114346916729548
"risk_lt_5pct","income_hi",-0.017167719334501
"risk_lt_5pct","metro",0
"risk_lt_5pct","married",-0.112240959454811
"risk_lt_5pct","nodal_risk",-0.0333101455808604
"overall","age",-0.00171990648903976
"overall","age2",-0.0019531066063049
"overall","female",-0.000381567052841625
"overall","year",0.00185680095928663
"overall","logsize",-0.0021237037747648
"overall","size_miss",-0.000522332631669824
"overall","T2",-0.00364826176567936
"overall","T3",0.00180226856063472
"overall","T4",0.00175138325459205
"overall","grade1",-0.00409224042188287
"overall","grade2",0.00357375178778374
"overall","grade3",0.00119543772987551
"overall","grade4",-0.00268372504552091
"overall","nonmuc",0.0017269555784324
"overall","muc",-0.000952061584079084
"overall","SRCC",-0.000019076687623692
"overall","race_black",-0.000467920957141031
"overall","race_white",-0.00144355257695002
"overall","race_other",-0.00119576663381682
"overall","income_hi",-0.00248030210459757
"overall","metro",0.00000331561736095113
"overall","married",0.000148486918681688
"overall","nodal_risk",-0.000714374046525849
