"replicate","RD_3pct","RD_4pct","RD_5pct","RD_7pct","RD_10pct","RD_14pct","RD_20pct","RD_28pct","RD_40pct","RD_50pct","RD_P10","RD_P90","interaction_1","interaction_2","interaction_3"
1,0.0297929945133619,0.0187691574014681,0.010380753705008,-0.00166987425125378,-0.0131903355002824,-0.022266892029174,-0.0276790774789661,-0.0258059435460224,-0.0169592762968127,-0.00948080569714898,0.0125539563905944,-0.0127861734350323,-0.0422254859369768,-0.0700409695996767,-0.00791197863328033
2,0.0156279035585593,-0.0000684764958625295,-0.0114262384484249,-0.0250310661893569,-0.0317262220757927,-0.0282161926871838,-0.0172444796214166,-0.00513163370462238,0.00739657387738499,0.0151362721978181,-0.00641213900303729,0.0121841998220587,0.00439447365624563,-0.0371391611337944,0.0406448654569284
3,0.00473959595152852,-0.00741739945018379,-0.0157662162424194,-0.0233946061315352,-0.0204076568409578,-0.0035066588725672,0.0167371396297214,0.0173463326627475,-0.00392381487351527,-0.0230186058422924,-0.0139019907174341,-0.010365036600046,0.0572464866955424,-0.0235768080452885,-0.0019934918029791
4,0.032061971560054,0.0155807947391877,0.00281221859266524,-0.0150627398424499,-0.0282861950263732,-0.0311661418489841,-0.0236241001747421,-0.0129656056194229,-0.00172610301611875,0.00525335249539085,-0.010662824476174,0.000775718750599216,-0.0165971215819594,-0.0720475238172712,0.0218399507778846
5,0.0502741367393124,0.0417036152876591,0.0352242355268923,0.0269889589935634,0.0222934586907737,0.0233986364503679,0.0238520543961234,0.0113957806309574,-0.0168200002377519,-0.0386818018314298,0.033886500556737,-0.0269770877677817,-0.0000259060263109017,-0.0811528212518517,-0.069068235848496
6,0.044246829877846,0.0235699879712402,0.00754207013826587,-0.0154218809461156,-0.0345646719705959,-0.0438367963571467,-0.0455824069969686,-0.0495475033534917,-0.059791287429148,-0.0678090874066979,-0.00905966528520626,-0.0619254056221167,-0.0450637859804387,-0.148082035250211,-0.0537698812192574
7,0.027743604250788,0.0168967299633163,0.0086304530787246,-0.00160882502446415,-0.00593968991265295,-0.000398986511123155,0.0063779270984781,-0.00817620282522111,-0.0484958402801244,-0.0803734411222446,0.00533581640372091,-0.0610479471950312,0.0196656083269377,-0.0961289494835328,-0.0821235825688918
8,0.0498476641474868,0.0358277840925809,0.0248939310837988,0.00748203032012228,-0.0137067369845542,-0.0377552135274639,-0.0583292726227789,-0.049321197463056,-0.00754535630601543,0.026921914140902,0.0180958737150039,0.00262090956870692,-0.112207861864953,-0.0858007773327499,0.0194917428962162
9,0.0113840443361932,0.00472886972255068,-0.00033693889939819,-0.0075486829151558,-0.014249602168965,-0.0192952155874555,-0.0239466163972899,-0.0296089194773327,-0.0377490362414154,-0.0434619275515555,-0.000405683836040269,-0.0413534425077657,-0.021286248293967,-0.0623600747956574,-0.0377199900671156
10,-0.0208982443613483,-0.0198874905549325,-0.0194177852120206,-0.0193702735489956,-0.0203884560372454,-0.0223068911377459,-0.0229064976133407,-0.0190846260320642,-0.0106481021683176,-0.00412433774284118,-0.020867571243826,-0.00732415452569935,-0.0275945016163413,0.0128608730423705,0.0110881613251272
