"analysis","n","limited","colectomy","cancer_events_limited","cancer_events_colectomy","cancer_CIF_limited_pct","cancer_CIF_colectomy_pct","cancer_RD_pp","ESS_limited","ESS_colectomy","max_weight","max_abs_weighted_SMD","worst_balance_variable","balance_pass"
"Q1",780,397,383,21,19,5.89001028209112,5.01591466972873,-0.874095612362392,368.75081993453,369.0391560955,0.902695748305623,0.00901700074533965,"nodal_risk",TRUE
"Q2",780,335,445,50,50,15.1897752951864,12.5394857445249,-2.65028955066152,320.418143491144,413.60000215766,0.859205652564628,0.00149686623238894,"nodal_risk",TRUE
"Q3",779,269,510,51,82,17.793224003677,16.1148825822071,-1.67834142146984,259.361838607365,464.543580351097,0.7928350975122,0.000403235960752232,"nodal_risk",TRUE
"Q4",780,258,522,65,111,25.4425157993863,22.1002702289578,-3.34224557042848,251.689012334089,484.430430639382,0.85944599397444,0.00486931981875902,"nodal_risk",TRUE
"Q5",780,242,538,98,192,40.0823864174662,36.401840804325,-3.68054561314122,239.645014709058,513.646004936564,0.844057407878731,0.00494706659424352,"nodal_risk",TRUE
"bottom_decile",390,200,190,8,15,4.95115669642599,7.514487624494,2.563330928068,180.734686597046,178.366487997093,0.809278980126181,0.0216156904722312,"nodal_risk",TRUE
"risk_lt_5pct",393,202,191,8,15,4.84327731373183,7.4219441988151,2.57866688508328,183.378949775572,179.821051232157,0.815201378420544,0.0237587928536473,"nodal_risk",TRUE
