"risk","risk_pct","rd","rd_pp","lo","lo_pp","hi","hi_pp","old_rd_pp","point_change_vs_old_pp"
0.03,3,0.0184606100878205,1.84606100878205,-0.0297328014616144,-2.97328014616144,0.0698535490886413,6.98535490886413,2.6,-0.753938991217951
0.04,4,0.00770461347472358,0.770461347472358,-0.0269122408391849,-2.69122408391849,0.044340307227096,4.4340307227096,1.3,-0.529538652527642
0.05,5,-0.000566601145370516,-0.0566601145370516,-0.0317857454141545,-3.17857454141545,0.028860057274261,2.8860057274261,0.3,-0.356660114537052
0.07,7,-0.0123058702875415,-1.23058702875415,-0.0457656131067144,-4.57656131067144,0.0203250079671439,2.03250079671439,-1,-0.230587028754151
0.1,10,-0.0227761094660095,-2.27761094660095,-0.0551486657382622,-5.51486657382622,0.0134488825455765,1.34488825455765,-2.3,0.0223890533990452
0.14,14,-0.029737605062034,-2.9737605062034,-0.0575435213063245,-5.75435213063245,-0.000398522819309107,-0.0398522819309107,-3.3,0.326239493796597
0.2,20,-0.0335431624651439,-3.35431624651439,-0.0751142874325195,-7.51142874325195,0.00317302983251612,0.317302983251612,-3.8,0.445683753485612
0.28,28,-0.0340482257708531,-3.40482257708531,-0.0789359103650117,-7.89359103650117,0.00725871307404875,0.725871307404875,-3.8,0.395177422914687
0.4,40,-0.0322394659678462,-3.22394659678463,-0.0794639042520099,-7.94639042520099,0.0139085930918186,1.39085930918186,-3.4,0.176053403215375
0.5,50,-0.0304980901945573,-3.04980901945573,-0.0994101463630636,-9.94101463630636,0.0403274729209288,4.03274729209287,-3,-0.0498090194557284
