"imputation","analysis","max_abs_weighted_SMD","balance_pass"
18,"bottom_decile",0.0113119031926942,TRUE
18,"risk_lt_5pct",0.0135387749447716,TRUE
19,"Q1",0.00195154521043849,TRUE
19,"Q2",0.00279914207758558,TRUE
19,"Q3",0.00328200317547516,TRUE
19,"Q4",0.00509205658984951,TRUE
19,"Q5",0.00157343509734735,TRUE
19,"bottom_decile",0.0139299325552274,TRUE
19,"risk_lt_5pct",0.0172233728958499,TRUE
20,"Q1",0.00526887638469348,TRUE
20,"Q2",0.0022262072129889,TRUE
20,"Q3",0.00436734082212475,TRUE
20,"Q4",0.00215071260079555,TRUE
20,"Q5",0.000405875616195408,TRUE
20,"bottom_decile",0.0174543125907068,TRUE
20,"risk_lt_5pct",0.0219536105957058,TRUE
