"stratum","limited_cif","colectomy_cif","rd","lo","hi","effective_B"
"Q1",0.107727543192736,0.0680521703580939,-0.0396753728346419,-0.0646255889131305,0.00557590815207994,1000
"Q2",0.0963983674301763,0.0691779926706975,-0.0272203747594788,-0.0725621632517358,0.00709671102936445,1000
"Q3",0.0966207564712966,0.0661666302102099,-0.0304541262610867,-0.0869339381671748,-0.0014661051599322,1000
"Q4",0.133300180772469,0.0795205346107744,-0.0537796461616949,-0.100346514801053,-0.00895588532441076,1000
"Q5",0.0907576034506926,0.0836321514204612,-0.00712545203023139,-0.0406879722605379,0.0342568964536505,1000
"bottom_decile",0.0781924393761654,0.0745670500889328,-0.00362538928723259,-0.0559177944304695,0.0448453843709118,1000
"risk_lt_5pct",0.057774595646549,0.0764710603855356,0.0186964647389866,-0.0576104517926965,0.0544724233378745,1000
