"replicate","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct"
1,-0.0443654695251777,0.0148663566871283,-0.0063677498212345,-0.0289487599369944,-0.0302421990620444,0.0267852779743848,-0.0329382837242613
2,0.00784560887202657,-0.0355508191485276,-0.0134722235581102,-0.00826380265133203,-0.0473079400952509,0.0683445723965885,0.0528429360800188
3,-0.0253203754892876,0.0200038874649809,-0.0888365493186447,0.00114357575468513,-0.0183403072114152,0.0203326908048211,0.00315850657383343
4,-0.0259978161639429,0.0227582299549364,0.031920456390198,-0.0295339945690508,-0.0459374070136095,-0.0367526805898913,-0.00564849833755974
5,0.0157255171205966,-0.0647945585046154,-0.0919923958267202,0.0277162890039055,-0.0606947075508405,0.0513756854406365,0.0565634489335038
6,0.0247579793235997,-0.0125381878760547,-0.0558085533276199,0.0488786534591256,-0.033968394897163,0.0606359162308197,0.0183329964964197
7,0.0376578488562977,-0.0478873712893841,-0.0170866152837816,0.0074732847287772,0.00174572671259648,0.0168449105635544,0.0204000559359855
8,-0.0241994754993228,-0.0845799201745018,0.0235879738120452,-0.0106815833454314,-0.0468708610545762,0.0233138461629715,0.00964798460566878
9,0.00737916117910369,-0.0451916449605318,-0.0316371042000295,0.0234113988593125,-0.0301573841384525,0.0104393766927637,0.0212515538136485
10,0.00277805814591319,-0.0237781460097707,-0.0547205843681054,-0.0182685318360406,-0.00973766682891547,0.0285443642676865,0.0342926003278803
11,-0.0000599188740049439,0.0568648331077966,-0.076676142121542,-0.0604986865344742,-0.0498364108394455,0.0414345073082341,0.0504143667807159
12,0.00336981733746892,-0.0117039462833656,-0.0375801962638315,-0.0299614333722324,-0.0788644642451254,0.0332334212654266,0.0111372052922267
13,-0.0247674576844469,-0.073038512524407,-0.0159595773390867,0.095872592447466,-0.0468974444195886,-0.00739561039223406,-0.0343901576860171
14,-0.0161008916838864,0.0453289997516493,0.00360954765802046,-0.0403937631288608,-0.0461050558109551,0.0290640224682029,0.0309381110943825
15,0.00119696462746571,-0.0292381001309868,0.00162715466619615,-0.054688772708441,-0.027492668192465,0.0278369142288117,0.0349962507232752
16,0.00679709707417031,-0.0320000765187186,-0.0684873225702905,0.0226199924083459,-0.0378269607267537,-0.00532406410349605,-0.00279283680587322
17,-0.0152932948466909,-0.0519816878574721,-0.0406365240444136,-0.018026719513123,-0.0345386373912199,0.00728844934559009,0.00497802340198174
18,-0.0435497660875931,-0.0331698101246308,-0.0469895558054929,-0.011066786948161,-0.0406680499088912,-0.000805307510277773,-0.00448728339338845
19,-0.0258625030624205,0.00508705396484285,0.00673042746438413,-0.0588477709082291,-0.0558227389722733,-0.0129355280933977,-0.0153911344557394
20,0.00537780452411966,-0.0143105320684638,-0.0194622147656009,0.00590722869412369,-0.0668141544487413,0.0232462678368316,0.00856348578204618
21,0.0175882326117699,-0.0287911529456148,-0.06476338650851,-0.0202473104717555,-0.0792521321552028,0.0234188003859027,0.0253518607268961
