"analysis","RD","RD_pp","lo","hi","lo_pp","hi_pp","upper_possible_reduction_pp","effective_B","criterion_2pp","criterion_3pp","criterion_5pp","full_cohort_RD_pp","point_change_vs_full_pp"
"Q1",-0.00874095612362392,-0.874095612362392,-0.0456609244466112,0.0340132083284957,-4.56609244466112,3.40132083284957,4.56609244466112,1000,FALSE,FALSE,TRUE,-0.170196340185069,-0.703899272177323
"Q2",-0.0265028955066152,-2.65028955066152,-0.088061768055833,0.0293920217769427,-8.8061768055833,2.93920217769427,8.8061768055833,1000,NA,NA,NA,-3.60440720015792,0.954117649496398
"Q3",-0.0167834142146984,-1.67834142146984,-0.0842400376783328,0.0493535130708222,-8.42400376783328,4.93535130708222,8.42400376783328,1000,NA,NA,NA,-0.204167087469409,-1.47417433400043
"Q4",-0.0334224557042848,-3.34224557042848,-0.0984806769605832,0.0574246482852888,-9.84806769605832,5.74246482852888,9.84806769605832,1000,NA,NA,NA,-4.43205938485178,1.0898138144233
"Q5",-0.0368054561314122,-3.68054561314122,-0.124893498936425,0.0313919458002075,-12.4893498936425,3.13919458002075,12.4893498936425,1000,NA,NA,NA,-5.0665579934397,1.38601238029848
"bottom_decile",0.02563330928068,2.563330928068,-0.0349058922324188,0.0736512693084444,-3.49058922324188,7.36512693084444,3.49058922324188,999,FALSE,FALSE,TRUE,2.05301634344254,0.510314584625464
"risk_lt_5pct",0.0257866688508328,2.57866688508328,-0.0398852536768909,0.0799315841736512,-3.98852536768909,7.99315841736512,3.98852536768909,1000,FALSE,FALSE,TRUE,2.92684043343799,-0.348173548354713
