"stratum","rd","lo","hi"
"Q1",0.00277456613524197,-0.0343308062227546,0.0298632855160177
"Q2",-0.0364988805143164,-0.0781913496233641,0.0157416451489574
"Q3",-0.00724366472616378,-0.0737246926575185,0.0383341187892001
"Q4",-0.0509708186678317,-0.0956168482206655,0.0205530111028373
"Q5",-0.0601006285180404,-0.12747728186488,0.00532292469830536
"bottom_decile",0.0308990640034319,-0.0215620677294507,0.0696217911125853
"risk_lt_5pct",0.0423669095402436,-0.0198492317216319,0.0784537707521357
