"definition","n","limited_risk","colectomy_risk","RD_pp"
"Definition_A",6951,0.289464176157343,0.33127321114287,4.18090349855263
"Definition_B",6676,0.287409638345311,0.334072140510996,4.66625021656854
"Definition_C",6951,0.289464176157343,0.33127321114287,4.18090349855263
