"analysis","n","limited","colectomy","cancer_events_limited","cancer_events_colectomy","cif_limited_pct","cif_colectomy_pct","rd_pp","ess_limited","ess_colectomy","max_weight","max_abs_weighted_smd","worst_variable","balance_pass"
"Q1",1383,712,671,31,30,5.64552115749576,5.98559064905923,0.340069491563477,678.53222497639,649.591984366066,0.779322769037788,0.116625267384256,"nonmuc",FALSE
"Q2",1383,635,748,49,48,12.0300729397977,8.53419279660096,-3.49588014319678,611.710739978203,720.042239163182,0.784480525470162,0.169018382530473,"grade1",FALSE
"Q3",1382,575,807,59,83,13.872385034707,13.66142446134,-0.210960573367078,552.704567567324,768.03800446856,0.783706313102175,0.135889439848512,"SRCC",FALSE
"Q4",1382,502,880,98,141,24.5771426113827,20.0064647489845,-4.57067786239821,485.423304367504,826.686467954789,0.808539042694622,0.0927219297145505,"nonmuc",TRUE
"Q5",1376,435,941,140,269,39.4754841867467,33.4628557004174,-6.01262848632925,427.082210106673,882.602090072045,0.861686356932645,0.122792049077047,"SRCC",FALSE
"bottom_decile",692,378,314,11,16,3.35907692007373,6.46644827149104,3.10737135141731,359.020170643675,306.29003060191,0.76805993797192,0.238899291789385,"age",FALSE
"risk_lt_5pct",597,334,263,9,16,3.2310499832553,7.48891508150306,4.25786509824776,317.251523109956,256.617081192358,0.76805993797192,0.290235793947927,"age2",FALSE
"overall",6906,2859,4047,377,571,18.8721092455507,16.2905018691609,-2.58160737638981,2722.71766729662,3766.96506563769,0.861686356932645,0.00409224042188287,"grade1",TRUE
