"analysis","estimate","rd_pp","lo","hi","effective_B","lo_pp","hi_pp","upper_possible_reduction_pp","criterion_2pp","criterion_3pp","criterion_5pp"
"Q1",0.00340069491563477,0.340069491563477,-0.0288436821186495,0.0355580669465051,1000,-2.88436821186495,3.55580669465051,2.88436821186495,FALSE,TRUE,TRUE
"Q2",-0.0349588014319678,-3.49588014319678,-0.078592370810382,0.0167078704090192,1000,-7.8592370810382,1.67078704090192,7.8592370810382,NA,NA,NA
"Q3",-0.00210960573367078,-0.210960573367078,-0.0665741090017029,0.04378343361156,1000,-6.6574109001703,4.378343361156,6.6574109001703,NA,NA,NA
"Q4",-0.0457067786239821,-4.57067786239821,-0.0927590563824088,0.0249019166105124,1000,-9.27590563824088,2.49019166105124,9.27590563824088,NA,NA,NA
"Q5",-0.0601262848632925,-6.01262848632925,-0.124657707622785,0.00448224449751224,1000,-12.4657707622785,0.448224449751224,12.4657707622785,NA,NA,NA
"bottom_decile",0.0310737135141731,3.10737135141731,-0.0143185310854808,0.0694347108834232,1000,-1.43185310854808,6.94347108834233,1.43185310854808,TRUE,TRUE,TRUE
"risk_lt_5pct",0.0425786509824776,4.25786509824776,-0.0178772288265218,0.0763894409400289,1000,-1.78772288265218,7.63894409400289,1.78772288265218,TRUE,TRUE,TRUE
"overall",-0.0258160737638981,-2.58160737638981,-0.0469950769017933,-0.00413768504950444,1000,-4.69950769017933,-0.413768504950444,4.69950769017933,NA,NA,NA
