"imputation","analysis","point_RD_pp","bootstrap_variance","bootstrap_SE_pp","effective_bootstrap_B"
1,"Q1",-0.943467972393341,0.000254113568679767,1.59409400186992,1000
1,"Q2",-4.16148334144806,0.000528920075574017,2.29982624468462,1000
1,"Q3",0.202481055038137,0.000750545440299207,2.73960843972128,1000
1,"Q4",-1.08387964329057,0.000889928210653249,2.98316645639034,1000
1,"Q5",-7.079057989446,0.000979111251216084,3.12907534459636,1000
1,"bottom_decile",1.29335586203077,0.000512961212849177,2.2648647042355,1000
1,"risk_lt_5pct",0.944907459237981,0.000568432499326753,2.38418224833328,1000
2,"Q1",-1.19287345241764,0.000275765930489443,1.66062015671689,1000
2,"Q2",-2.47204716583627,0.000555726854736099,2.35738595638495,1000
2,"Q3",0.588137619657705,0.000764273610304546,2.76454989158189,1000
2,"Q4",-4.80070001574061,0.000897655244212157,2.99608952505121,1000
2,"Q5",-4.87844982878997,0.00106275085733848,3.25998597748285,1000
2,"bottom_decile",1.27375493398868,0.000449739576392555,2.12070643039661,1000
2,"risk_lt_5pct",1.48808159955951,0.000487984454574329,2.20903701773947,1000
3,"Q1",-1.53481030896163,0.000266968192225172,1.63391613072756,1000
3,"Q2",-2.36771329584973,0.000530372366195074,2.30298147234205,1000
3,"Q3",-1.52838332925044,0.000638643924147037,2.52714052665663,1000
3,"Q4",-1.17023152881935,0.000928269372213391,3.04675133907149,1000
3,"Q5",-7.0312759973576,0.000932871203923669,3.05429403287187,1000
3,"bottom_decile",-0.0326443758553729,0.000568491486674901,2.38430595074311,1000
3,"risk_lt_5pct",0.237825665969267,0.000657466440998674,2.56411084198534,1000
4,"Q1",-0.884836413494219,0.000250476465298737,1.58264482843984,1000
4,"Q2",-2.65827638178379,0.000533673752249524,2.31013798776074,1000
4,"Q3",-1.97945910075224,0.000716920379250009,2.67753688910164,1000
4,"Q4",-3.59374164249948,0.000769641186920527,2.77424077347394,1000
4,"Q5",-5.37096740407652,0.00109743633021058,3.31275765822159,1000
4,"bottom_decile",1.41056094775381,0.000544443401297433,2.33333109801724,1000
4,"risk_lt_5pct",2.23037355179056,0.000566452760614636,2.38002680786296,1000
5,"Q1",-2.06690079565518,0.000263341390956519,1.62277968608348,1000
5,"Q2",-2.24848769019428,0.000548891998426581,2.34284442169466,1000
5,"Q3",-2.53007984965437,0.000768021134166817,2.7713194225257,1000
5,"Q4",-3.29770050246374,0.000851796670650589,2.91855558564607,1000
5,"Q5",-3.4389371254215,0.000966178161777783,3.10834065343196,1000
5,"bottom_decile",1.06446780932855,0.000435174647800367,2.08608400550018,1000
5,"risk_lt_5pct",1.38800145020878,0.000540508621052007,2.32488412840728,1000
6,"Q1",-0.890935652165418,0.000285708190511592,1.69029047950816,1000
6,"Q2",-2.8375873596999,0.000553144348636347,2.3519020996554,1000
6,"Q3",1.68762684840302,0.000657586468894349,2.56434488494498,1000
6,"Q4",-4.56934110365479,0.000867557773866184,2.94543337026351,1000
6,"Q5",-5.92628044998916,0.00108352325589025,3.29169144345312,1000
6,"bottom_decile",1.81679176779845,0.00047898190424371,2.18856552162303,1000
6,"risk_lt_5pct",2.69119832390806,0.000596988457843065,2.44333472500815,1000
7,"Q1",-0.97255456806349,0.000261571610064857,1.6173175633278,1000
7,"Q2",-1.95868212844968,0.000577034342093897,2.40215391283302,1000
7,"Q3",-1.02129866094998,0.00069184051904228,2.63028614230901,1000
7,"Q4",-4.38920020949127,0.000794944438023268,2.81947590524067,1000
7,"Q5",-4.24840541052994,0.000984703001528944,3.13799777171518,1000
7,"bottom_decile",1.56499029644364,0.000492127465330559,2.21839461171938,1000
7,"risk_lt_5pct",1.64302912624638,0.000538291758940077,2.32011154675821,1000
8,"Q1",-0.742294401361573,0.00024776740204398,1.57406290231356,1000
8,"Q2",-3.10402173546461,0.000523592032945378,2.28821334876226,1000
8,"Q3",-0.907082925071578,0.000800231972703121,2.82883716870222,1000
8,"Q4",-3.255299230411,0.000861321249371797,2.93482750663782,1000
8,"Q5",-5.61801237798605,0.00103710072006374,3.22040481937247,1000
8,"bottom_decile",1.88381294232539,0.000535871076280156,2.31488893098601,1000
8,"risk_lt_5pct",1.44984092692646,0.000654636976509111,2.5585874550406,1000
9,"Q1",-0.962275998510274,0.00025803953453569,1.60636090134095,1000
9,"Q2",-4.33070867306853,0.000560087128740281,2.36661599914367,1000
9,"Q3",0.361781418327151,0.000762869563965653,2.76200934822034,1000
9,"Q4",-3.96773938694756,0.000923607684765201,3.03909145101822,1000
9,"Q5",-4.48419025585894,0.00102452667031626,3.20082281658367,1000
9,"bottom_decile",1.3074753153835,0.000488828694540878,2.21094706978905,1000
9,"risk_lt_5pct",1.29080016856097,0.000574945001935814,2.39780108002272,1000
10,"Q1",-1.65515039871533,0.000253481215089401,1.59210934011895,1000
10,"Q2",-1.55916051866549,0.000531661817339545,2.30577929850093,1000
10,"Q3",-1.23928637581669,0.000755498767502156,2.74863378335885,1000
10,"Q4",-1.21135089211258,0.000882562328252277,2.97079505899057,1000
10,"Q5",-7.6202783146449,0.00109925930895432,3.31550796855371,1000
10,"bottom_decile",1.55302695664696,0.000468027295822373,2.16339385185031,1000
10,"risk_lt_5pct",1.74924071176224,0.000499796500251009,2.23561289191803,1000
11,"Q1",-1.58297889092213,0.000253538241895804,1.59228842203856,1000
11,"Q2",-2.8821881906147,0.000543833473003412,2.33202374131014,1000
11,"Q3",0.0926899346849863,0.000706147977774352,2.6573444973777,1000
11,"Q4",-4.05423473833733,0.000842341028789289,2.90231119763076,1000
11,"Q5",-5.934213844748,0.00103080411697598,3.21061383068095,1000
11,"bottom_decile",1.08888509748499,0.000488073430329467,2.20923839892726,1000
11,"risk_lt_5pct",0.867929856820687,0.000534419313520281,2.31175109715618,1000
12,"Q1",-2.03653489088818,0.000296183886379108,1.72099937936975,1000
12,"Q2",-1.62982590046842,0.0005349931941111,2.31299198898548,1000
12,"Q3",-0.764735750830661,0.000743019961859131,2.72583925032114,1000
12,"Q4",-3.53296120155533,0.000941050074980415,3.06765394883519,1000
12,"Q5",-4.98436609389481,0.00104354384441696,3.2303929241146,1000
12,"bottom_decile",2.0737416430356,0.000532265037798547,2.30708698968753,1000
12,"risk_lt_5pct",2.28479201413029,0.000634032683842124,2.51800056362608,1000
13,"Q1",0.415352955053908,0.000244930705763292,1.56502621627656,1000
13,"Q2",-2.0824283843438,0.000522375122757706,2.28555271817936,1000
13,"Q3",-2.7758268487072,0.000714818505675938,2.67360899474089,1000
13,"Q4",-3.75039140004029,0.000873487552002302,2.95548228213654,1000
13,"Q5",-4.62508059586663,0.00104022531925939,3.22525242308163,1000
13,"bottom_decile",1.44159261265054,0.000543640653650123,2.33161028829889,1000
13,"risk_lt_5pct",2.21609339609977,0.000522404664755553,2.28561734495421,1000
14,"Q1",-0.53080214943115,0.000284020710455121,1.68529140048575,1000
14,"Q2",-2.30366475683415,0.000524771511616942,2.29078919068722,1000
14,"Q3",-2.01043722760457,0.000667487526779897,2.58357799723542,1000
14,"Q4",-3.10930711082464,0.000886475705813628,2.97737418846478,1000
14,"Q5",-5.11236410523804,0.000991658688651761,3.14906127068331,1000
