"replicate","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct"
1,-0.0383710084084029,-0.0416456570771713,-0.0222285063113303,-0.0224423123168583,0.0148982538024708,0.00488929225148017,0.00477374590548708
2,-0.00512115018440362,-0.0345145182204561,-0.048788229098915,-0.0668219159778993,-0.0120926128375305,0.0136307276632576,0.0136307276632576
3,-0.0140329850610868,-0.0484951088851175,-0.0443623567868876,-0.0733514241275957,-0.0196330024512832,-0.00103531017906771,0.0047172293679871
4,-0.02792184390982,0.000990226302366434,-0.0626393898282913,-0.0294425435357853,0.00702244305480705,-0.0150736791010053,-0.0178738010649012
5,0.00337671649343128,-0.0380427546384159,-0.059212860512722,-0.113084087157889,0.0321714662736952,0.00671206398782725,0.0031798639278471
6,-0.0522748616273368,-0.0214102951280384,-0.0849092213495878,-0.0262994691518594,-0.00589086703498536,-0.0377619959823106,-0.031809400750702
7,-0.0727455088671193,-0.00811150972133531,-0.0228324145386986,-0.0609494077405884,-0.0157738436271147,-0.0390869092696999,-0.0404902539439672
8,0.00479729110793133,-0.0117596584710682,-0.0388415372011826,-0.107202933104519,-0.0367229969843899,0.0596448900117741,0.0516678409905695
9,-0.0518609572984696,-0.0502153010585501,-0.0469846898651265,-0.09876408974367,0.00126772061064184,0.0174782616978239,0.0238858758999177
10,-0.0330987776600098,-0.0623978284678851,-0.0194498230401413,-0.0563768742514989,-0.0141312702869401,-0.0154769254778287,0.00737969298584196
11,-0.0677102553749485,-0.0144501484156873,-0.0601097542317669,-0.0228428675834394,-0.00773630710789046,-0.00356149604490552,-0.0195050112506513
12,-0.00416914015184681,-0.0527084474453846,-0.0129426580157008,-0.0840033368370675,0.0185095440274871,0.0319805336089908,0.000857345371251914
13,-0.00580235916918134,-0.0501539740373331,-0.0286134698260498,-0.0771314686613019,0.0179972304173512,0.0100962717261896,-0.0133032923656291
14,-0.0125833216197592,-0.0143802893346649,-0.0572736539941149,-0.0653440564346672,-0.00727494361329285,0.00413110604687423,-0.00246069774444105
15,-0.00769081606100198,-0.0389167430517286,-0.0799497678814191,-0.063713796199402,0.0113392189611762,0.0199048154851678,0.0439750247646728
16,-0.0240640374362943,-0.0288979557286059,-0.037655378246265,-0.0831118681292632,-0.00550572431314483,-0.00904559858094997,-0.0113861287311127
17,-0.0229585414902352,-0.0246313802873987,-0.0862501485247431,-0.0184909011730117,0.00167783151050575,0.0130845554980753,0.00250450069919235
18,-0.0252434130752374,-0.0509318278854751,-0.0831852512454778,-0.0362306652609395,-0.0193208058435753,-0.0216338470091225,-0.0220655936667561
19,-0.0384268702265269,-0.0539629238878818,-0.0168785472914563,-0.0571363427750455,-0.045307944969216,-0.049397504165035,-0.0461284053348529
20,-0.0505101534925694,-0.0143349822209841,-0.0753939142400391,-0.0768249642331156,-0.00272422891443112,-0.0256200249286978,-0.0480229738324588
21,-0.00534903257320343,-0.0349846870684352,-0.0659129687452892,-0.0116687472502375,0.00928583842374957,-0.0179666162096567,-0.0168668618413594
22,0.00557321995105155,-0.0227980086421955,-0.0404603664729955,-0.0484046343948351,-0.0139860385142201,0.0399593302109856,0.0442135824594746
23,-0.0786731732633583,-0.0474893884140937,-0.0414115907774187,-0.0482286653340522,0.0135122337736591,-0.0423649190083144,-0.00219276764504857
24,-0.0395352215513437,-0.0566140549234572,-0.0451880641801321,-0.0445114386678053,0.0185611875141134,-0.02884852791329,-0.0251031881588303
25,0.00548621873583019,-0.0297097901962375,-0.0395434732487007,-0.0329338834438723,0.00426842157223016,0.0251271749047019,0.00690272279709145
26,-0.0304288591050542,-0.0230302281896069,-0.0484791317166949,-0.0594003366954389,0.00332405403793343,-0.0154173030877117,0.018891592990458
27,-0.0284979378429625,-0.0256691514549879,-0.0400942167644694,-0.0877136838642911,-0.0312882873256463,0.0215164892112759,-0.00368727788911587
28,-0.0350543426133475,-0.0227496896041865,-0.0827783290402618,0.016228003622622,-0.0000961774626525025,-0.0123900110164937,0.000827422926356305
29,-0.0329507961878139,-0.0223433635682357,-0.0575197411397407,-0.0222885419075515,-0.0468564590351678,-0.0465794881785746,-0.0365157515041351
30,-0.046242800615215,-0.0582498636142203,-0.0374678084419524,-0.0690500852587514,0.0156844739031142,-0.0141348753895527,-0.0141357286571993
31,-0.0129355926914218,-0.0476031925137165,-0.0495655556526114,-0.103034179558961,0.000496554850721323,0.00983298339128641,-0.00922637248948485
32,0.00413246269626791,-0.027556298602272,-0.024351616328229,-0.0566686660403779,-0.017081591758412,0.00566070396200386,0.0146973864481377
33,0.0117254386993523,-0.01424739008564,-0.0137978783429093,-0.0810638143205323,-0.0091076654357098,-0.00102480223843503,0.0104784306823237
34,-0.0154782440446234,-0.0704282174155613,-0.0345712763615698,-0.0271820533282825,-0.0274330189313652,-0.0358759292834149,0.00118736295455937
35,-0.0454452795985929,-0.0522273597037313,-0.0392769052665776,-0.0655604859121683,0.0121706211046104,-0.0177908416817776,0.000363847208675938
36,-0.0243023235516528,-0.0390464221898381,-0.0456361694412879,-0.0460843674895925,-0.00166038552024957,0.0261836830436969,0.0256303552486684
37,-0.0522159836585505,-0.0281726620092388,-0.0172950267480673,-0.0657887744424163,0.00297118279991626,-0.0168608965580753,-0.00655884839056212
38,-0.0645981628766765,-0.0709989358461048,-0.0295598959909929,-0.0597483803531223,-0.0107081777576353,-0.0438035891102469,-0.0401529212501588
39,-0.0452193992260291,-0.0605985839799313,-0.0755662062235321,-0.0156862060990499,0.0235133317383917,-0.0181512872723722,-0.0325655327855666
40,-0.0285782762895722,-0.077459811775112,-0.0329595848505906,-0.079538646450335,-0.0302337148076392,-0.0303899834782583,-0.0255414084080805
41,-0.0530582713262928,-0.0114293724524005,-0.071557682347177,-0.0149183472646547,-0.00702655901463674,-0.0145377694697443,-0.013954267233392
42,-0.00679911082191884,-0.0389752822438453,0.00440343122000142,-0.0585552171695198,-0.0281021533743135,-0.00566817837914482,-0.00859958408989218
43,-0.0159918315653316,-0.0115699513734762,-0.011345562236134,-0.0954761901425172,-0.0243139293445967,0.00483002584833957,-0.00462034072715033
44,-0.0562631050379427,-0.0312737208445763,-0.032363379483638,-0.0674499217801617,-0.00882255401222133,-0.0336267321152567,-0.0357378576042695
45,-0.00860145710948571,-0.025332453711292,-0.0135926667818516,-0.0743067750420876,0.0287944954037924,0.0280974403378316,0.0393625676248404
46,-0.0696741860250903,-0.0401301018288898,-0.0330855625581698,-0.087442972573926,0.0269827585792573,-0.047116674306142,-0.0486636230120881
47,-0.0198573583871645,-0.0374918079174231,-0.0346035074008834,-0.0766774379429001,-0.0409408253921015,0.0302587175118182,0.0333290888881109
48,-0.00543551277704002,-0.0490193561337672,-0.0200895847103874,-0.0322070511309875,0.00877977761994846,0.0462889387414432,0.0482556345526195
49,-0.0654712967098497,-0.0133481954632632,-0.0444096622657067,-0.105835304428332,-0.00282078894718135,-0.0302072265164123,-0.0339952948147857
50,-0.0425476761955765,-0.0203520209349778,-0.0327570840339972,-0.0239091207330123,-0.00177969767289016,-0.0263827915424779,-0.0406712740842614
51,-0.0213246973295026,-0.0303353054065673,-0.043021475314257,-0.0462345577897974,-0.00804164125689837,0.0197786319175974,0.0179615089305327
52,-0.014882520033674,-0.0530796124942009,-0.0109711593960385,-0.036931707813376,0.00754494608643513,-0.0322467011175487,-0.0289545178412973
53,-0.0497109985295057,-0.0492475939068485,-0.0395143102068902,-0.0290885021859516,-0.0110121155063623,-0.0211255551016046,-0.00986953994751195
54,-0.0119911846744186,-0.0311130633082495,-0.0669799481169367,-0.0360158346166873,0.0302412278403733,-0.00777178457160485,0.000630350748721864
55,-0.0287348163782772,-0.00476494878813215,-0.0592314020212405,-0.0572092353378756,-0.0162538541460846,0.0255948552911487,0.0213890651876793
56,-0.00979440477310754,-0.0428728895541599,-0.0524701247215222,-0.0604141728982264,-0.00566848126675262,0.0194372410429933,0.0435755814056373
57,-0.0329916230248959,-0.0292066909783733,-0.0531107594485085,-0.0675464028248662,-0.0223701789277425,0.00587206428760193,0.00495443518628098
58,-0.0323921936380619,-0.0298401576679847,-0.0392234202823265,-0.0512736950113767,-0.0125997386372064,-0.0245633238110263,0.014512559695117
59,-0.0389670081568101,-0.0629176434106721,-0.0540681528601823,-0.0574785174904242,-0.00662187286698454,-0.00174915221500874,-0.0376927187288466
60,-0.0348402662665639,-0.0478890444768186,-0.0628588872519301,-0.0637120780942763,-0.0259896964783914,0.0252003769651563,0.0161652908337803
61,-0.00857710796884459,-0.06905163597507,-0.05643808767949,-0.0453005921855433,0.00125651381040501,0.0103033986578685,0.0579549659418129
