"component","smd_unweighted","smd_weighted","subgroup","histology","risk_half"
"income_hi",-0.227865795518053,1.1863591056776e-08,"mucinous_low","mucinous","low"
"metro",0,0,"mucinous_low","mucinous","low"
"married",0.130831741716477,-1.12862711382999e-08,"mucinous_low","mucinous","low"
"nodal_risk",0.0559137674294337,0.0201096644464613,"mucinous_low","mucinous","low"
"age",-0.0650901581357502,4.71358116990951e-09,"mucinous_high","mucinous","high"
"I(age^2)",-0.10536764405903,3.5305503590234e-09,"mucinous_high","mucinous","high"
"female",0.0821776255632466,3.23409880299347e-10,"mucinous_high","mucinous","high"
"year",-0.388406061123293,2.21201777394328e-09,"mucinous_high","mucinous","high"
"logsize",0.0799103643585747,1.5105548394283e-08,"mucinous_high","mucinous","high"
"size_miss",-0.101646354489016,-5.77519976226933e-09,"mucinous_high","mucinous","high"
"T_fT2",-0.147702005329045,-8.27985374864378e-10,"mucinous_high","mucinous","high"
"T_fT3",0.104677477992232,-7.92946665520824e-09,"mucinous_high","mucinous","high"
"T_fT4",-0.0813483743754762,-2.08021996872603e-08,"mucinous_high","mucinous","high"
"grade_f1",0.0251565146422351,-5.70271429033815e-09,"mucinous_high","mucinous","high"
"grade_f2",0.18299839602836,-1.25962354787464e-08,"mucinous_high","mucinous","high"
"grade_f3",0.065676574206038,1.33564162826868e-08,"mucinous_high","mucinous","high"
"grade_f4",-0.0105014163685251,4.29530251970099e-08,"mucinous_high","mucinous","high"
"stage_fRegional",0.134895666349477,-1.04317002968305e-08,"mucinous_high","mucinous","high"
"race4_fNon-Hispanic Black",0.0486341439660559,-3.69883192903011e-09,"mucinous_high","mucinous","high"
"race4_fNon-Hispanic White",-0.0138533727663035,-7.88262559010667e-09,"mucinous_high","mucinous","high"
"race4_fOther/Unknown",-0.00780405527803739,-4.28073261184852e-09,"mucinous_high","mucinous","high"
"income_hi",-0.114790701317441,3.35366149851504e-09,"mucinous_high","mucinous","high"
"metro",0,0,"mucinous_high","mucinous","high"
"married",-0.0950221543609544,-1.10207552280208e-09,"mucinous_high","mucinous","high"
"nodal_risk",0.171104648942257,-0.00767288138516892,"mucinous_high","mucinous","high"
"age",0.190281590844631,9.25632623941074e-10,"GCA_low","GCA","low"
"I(age^2)",0.12452023693566,2.32119620691588e-09,"GCA_low","GCA","low"
"female",-0.0434488077901101,-9.83527924240051e-09,"GCA_low","GCA","low"
"year",0.108508108761261,-9.16012071907025e-09,"GCA_low","GCA","low"
"logsize",0.40552935104249,-4.02207009315105e-09,"GCA_low","GCA","low"
"size_miss",0.0744862380523073,5.44749247817301e-09,"GCA_low","GCA","low"
"T_fT2",-0.112262374120989,4.12433269445268e-09,"GCA_low","GCA","low"
"T_fT3",0.305257246173892,-6.86315400588597e-09,"GCA_low","GCA","low"
"T_fT4",0.0149091907147512,1.65894193306187e-09,"GCA_low","GCA","low"
"grade_f1",0.0594634849341643,7.58919378689203e-09,"GCA_low","GCA","low"
"grade_f2",-0.0762077588211149,-1.76061328932108e-08,"GCA_low","GCA","low"
"grade_f3",0.0591587850663362,1.20432544516726e-09,"GCA_low","GCA","low"
"grade_f4",0.0207660975322897,4.64081272878657e-10,"GCA_low","GCA","low"
"stage_fRegional",0.161543708996957,7.52026263904943e-09,"GCA_low","GCA","low"
"race4_fNon-Hispanic Black",0.00129368892548442,3.03184534535093e-09,"GCA_low","GCA","low"
"race4_fNon-Hispanic White",0.0398572962381153,1.95722440603267e-08,"GCA_low","GCA","low"
"race4_fOther/Unknown",-0.0543395508705167,-4.42637327782041e-08,"GCA_low","GCA","low"
"income_hi",0.150859639497592,-1.20339715799317e-08,"GCA_low","GCA","low"
"metro",0.0542725354129255,0.000142027280766197,"GCA_low","GCA","low"
"married",0.145756121871762,1.10310068392413e-08,"GCA_low","GCA","low"
"nodal_risk",0.319208808474173,-0.0018386368263694,"GCA_low","GCA","low"
"age",0.0500420241084324,1.40723496808265e-14,"GCA_high","GCA","high"
"I(age^2)",0.00583635880087841,-2.9828985757869e-14,"GCA_high","GCA","high"
"female",-0.109556757778707,-2.03851894261751e-13,"GCA_high","GCA","high"
"year",-0.0923682532679422,-2.4772648504915e-13,"GCA_high","GCA","high"
"logsize",0.144802633882277,2.29298689513901e-13,"GCA_high","GCA","high"
"size_miss",0.0119724794878175,2.61072919797584e-14,"GCA_high","GCA","high"
"T_fT2",-0.0385651141105078,-3.96797492431992e-14,"GCA_high","GCA","high"
"T_fT3",0.121663743719395,2.06145285941292e-13,"GCA_high","GCA","high"
"T_fT4",-0.117383097827105,-2.01173161589921e-13,"GCA_high","GCA","high"
"grade_f1",-0.0817443670206827,-1.17670694308517e-13,"GCA_high","GCA","high"
"grade_f2",-0.113408084787638,-1.68895514898451e-13,"GCA_high","GCA","high"
"grade_f3",0.190038453043326,2.91634059520555e-13,"GCA_high","GCA","high"
"grade_f4",-0.0425289358427395,-7.76640774414878e-14,"GCA_high","GCA","high"
"stage_fRegional",-0.0513662511191809,-9.14769127006455e-14,"GCA_high","GCA","high"
"race4_fNon-Hispanic Black",0.0810521883584869,9.00383495822967e-14,"GCA_high","GCA","high"
"race4_fNon-Hispanic White",0.0308372631042628,5.82740134676484e-14,"GCA_high","GCA","high"
"race4_fOther/Unknown",-0.0969162143074217,-1.29918172753243e-13,"GCA_high","GCA","high"
"income_hi",0.115772965956542,2.74356107910003e-13,"GCA_high","GCA","high"
"metro",0,0,"GCA_high","GCA","high"
"married",0.208902674882979,3.62110003705895e-13,"GCA_high","GCA","high"
"nodal_risk",0.16108532453586,0.00478096539882606,"GCA_high","GCA","high"
"age",0.0665709652941787,1.11297507463582e-08,"SRCC_high","SRCC","high"
"I(age^2)",0.0469362593793696,1.2473662149824e-08,"SRCC_high","SRCC","high"
"female",0.0519743847896808,-8.54349348355282e-09,"SRCC_high","SRCC","high"
"year",0.201385041554713,-6.38245585497368e-09,"SRCC_high","SRCC","high"
"logsize",-1.27011689008129e-05,9.77436457046576e-10,"SRCC_high","SRCC","high"
"size_miss",-0.124070188093921,7.83440179549476e-09,"SRCC_high","SRCC","high"
"T_fT2",0.0643871244387686,-1.07250181472049e-09,"SRCC_high","SRCC","high"
"T_fT3",0.0548417119027288,-1.07160814840982e-08,"SRCC_high","SRCC","high"
"T_fT4",-0.103394973112397,-8.86369355379667e-09,"SRCC_high","SRCC","high"
"grade_f1",-0.0201064993883906,-1.11535508802253e-09,"SRCC_high","SRCC","high"
"grade_f2",0.0833816388840946,-2.96674981941882e-09,"SRCC_high","SRCC","high"
"grade_f3",-0.150202762547891,-1.59785366717699e-09,"SRCC_high","SRCC","high"
"grade_f4",-0.118907306925431,-2.68303950129268e-09,"SRCC_high","SRCC","high"
"stage_fRegional",-0.0732691431990079,-1.68386986996763e-08,"SRCC_high","SRCC","high"
"race4_fNon-Hispanic Black",0.11996554482562,-3.23843424930689e-09,"SRCC_high","SRCC","high"
"race4_fNon-Hispanic White",0.0316301830477823,-2.91045888427723e-09,"SRCC_high","SRCC","high"
"race4_fOther/Unknown",0.0310886341655619,-2.3710806060145e-09,"SRCC_high","SRCC","high"
"income_hi",-0.0728937106588335,-1.34708705224828e-09,"SRCC_high","SRCC","high"
"metro",0,0,"SRCC_high","SRCC","high"
"married",0.0506734691985854,8.76214367386292e-09,"SRCC_high","SRCC","high"
"nodal_risk",-0.255117511890113,-0.00117526048621777,"SRCC_high","SRCC","high"
