"analysis","n","limited","colectomy","cancer_events_limited","cancer_events_colectomy","cancer_CIF_limited_pct","cancer_CIF_colectomy_pct","cancer_RD_pp","other_CIF_limited_pct","other_CIF_colectomy_pct","other_RD_pp","ESS_limited","ESS_colectomy","PS_P1_limited","PS_P99_limited","PS_P1_colectomy","PS_P99_colectomy","max_weight","max_abs_weighted_SMD","worst_balance_variable","balance_pass"
"Q1",1382,712,670,31,30,6.00325641400797,5.8330600738229,-0.170196340185069,11.2911644454829,6.6121755192534,-4.67898892622951,674.888830040816,646.575985603525,0.136471641693807,0.666987877934288,0.235957127985638,0.680456108912038,0.835105361379667,0.000838072597873218,"nodal_risk",TRUE
"Q2",1381,634,747,49,48,12.0982768655552,8.49386966539723,-3.60440720015792,9.52544894040902,7.45593044982622,-2.0695184905828,591.173961744225,700.489528262712,0.19839315288691,0.751423480953011,0.271207245112409,0.766233317323097,0.815694067869777,0.000162637881898771,"nodal_risk",TRUE
"Q3",1381,576,805,59,83,13.8878219142007,13.6836548267313,-0.204167087469409,10.0229079633519,6.92301988103389,-3.09988808231799,533.532401259378,731.224568568234,0.189755536921254,0.817337229427235,0.310034785039525,0.902853828571298,0.873158876906805,0.00295677510607287,"nodal_risk",TRUE
"Q4",1381,501,880,98,141,24.5689424228819,20.1368830380302,-4.43205938485178,13.1218390173062,8.2690001430166,-4.85283887428964,483.890548629116,818.985417340924,0.306152096363762,0.816190263869353,0.396643289988759,0.81639993399178,0.872746012446858,0.0041161235799369,"nodal_risk",TRUE
"Q5",1381,436,945,140,269,39.1511383208147,34.084580327375,-5.0665579934397,9.05798509729253,8.39730622661784,-0.66067887067468,427.688835064105,889.875490574668,0.421636924692592,0.821837635698207,0.493114050111491,0.845756463052936,0.844729274934994,0.00114808494594946,"nodal_risk",TRUE
"bottom_decile",691,378,313,11,16,4.23134159100301,6.28435793444554,2.05301634344254,8.5288989989135,6.98874621240389,-1.54015278650961,351.290143688236,301.466028294544,0.0829178744420043,0.638368543532343,0.16554473388727,0.652832327582693,0.864072744868974,0.0118161288171058,"nodal_risk",TRUE
"risk_lt_5pct",597,334,263,9,16,4.34148404629371,7.2683244797317,2.92684043343799,6.47342155223296,7.07346248209844,0.600040929865477,308.305132732869,251.182441540395,0.0970126992340606,0.665912297296645,0.169951281320748,0.73355657131076,0.856035483470757,0.0126620179387825,"nodal_risk",TRUE
