"landmark_months","analysis","n","n_limited","n_colectomy","ESS_limited","ESS_colectomy","max_weight","max_abs_wSMD","worst_balance_variable","balance_pass","RD","RD_pp","lo","hi","lo_pp","hi_pp","effective_B","upper_possible_reduction_pp","criterion_2pp","criterion_3pp","criterion_5pp"
3,"Q1",1294,661,633,623.230153890168,609.912545485716,0.837440878910153,0.0000509503501539292,"nodal_risk",TRUE,-0.0062317657030293,-0.62317657030293,-0.0385024146297933,0.0251452636133704,-3.85024146297933,2.51452636133704,1000,3.85024146297933,NA,NA,NA
3,"Q2",1294,581,713,546.017139715128,669.729068846357,0.812593150594082,0.000457319652806475,"nodal_risk",TRUE,-0.0332686078387134,-3.32686078387134,-0.0730696185572092,0.0146427403329474,-7.30696185572092,1.46427403329474,1000,7.30696185572092,NA,NA,NA
3,"Q3",1296,525,771,489.908080424553,701.484379928372,0.868134446717344,0.00333541055753815,"nodal_risk",TRUE,0.000552123457690568,0.0552123457690568,-0.0647705868805942,0.041394553384556,-6.47705868805942,4.1394553384556,1000,6.47705868805942,NA,NA,NA
3,"Q4",1290,452,838,438.470202929997,780.852249096998,0.874879029726435,0.00416481443701184,"nodal_risk",TRUE,-0.045914678671974,-4.5914678671974,-0.100177660575162,0.0230893195751689,-10.0177660575162,2.30893195751689,1000,10.0177660575162,NA,NA,NA
3,"Q5",1287,391,896,384.864892282434,850.800298931447,0.841085349107305,0.00196088712408354,"nodal_risk",TRUE,-0.0464093191743282,-4.64093191743282,-0.108505916603206,0.0214552709398653,-10.8505916603206,2.14552709398653,1000,10.8505916603206,NA,NA,NA
3,"bottom_decile",652,356,296,326.045611047674,283.554095303469,0.884987878377794,0.0138259604717789,"nodal_risk",TRUE,0.013101605399194,1.3101605399194,-0.0351146603302056,0.0526450168804226,-3.51146603302056,5.26450168804226,1000,3.51146603302056,FALSE,FALSE,TRUE
3,"risk_lt_5pct",561,314,247,285.253435923522,234.407539984042,0.881810159327479,0.0147148060626695,"nodal_risk",TRUE,0.0195670824326376,1.95670824326376,-0.0388034729993766,0.0568289871952751,-3.88034729993766,5.68289871952751,1000,3.88034729993766,FALSE,FALSE,TRUE
6,"Q1",1234,622,612,584.166897235272,587.924634859994,0.847715432786854,0.00285530317058275,"nodal_risk",TRUE,-0.00969588482247431,-0.96958848224743,-0.0438401541527872,0.0159478548834447,-4.38401541527872,1.59478548834447,1000,4.38401541527872,NA,NA,NA
6,"Q2",1237,542,695,512.87846134821,654.079823409275,0.797418862947333,0.00042322457993533,"nodal_risk",TRUE,-0.0369347349447548,-3.69347349447548,-0.0777560646227676,0.013350445744371,-7.77560646227676,1.3350445744371,1000,7.77560646227676,NA,NA,NA
6,"Q3",1244,499,745,468.32414770609,680.291654710441,0.87257675990949,0.00292178035882882,"nodal_risk",TRUE,0.000028513183848583,0.0028513183848583,-0.0700952065691213,0.0408819171013446,-7.00952065691213,4.08819171013446,1000,7.00952065691213,NA,NA,NA
6,"Q4",1253,434,819,421.900293868028,763.195134461626,0.866738001831837,0.00389549786365012,"nodal_risk",TRUE,-0.0463145345802741,-4.63145345802741,-0.0924076295358831,0.0219404319148479,-9.24076295358831,2.19404319148479,1000,9.24076295358831,NA,NA,NA
6,"Q5",1232,360,872,355.394196188049,832.778831499581,0.828545607636111,0.00204920271912844,"nodal_risk",TRUE,-0.0418470688748583,-4.18470688748583,-0.109635450857519,0.0202478656208805,-10.9635450857519,2.02478656208805,1000,10.9635450857519,NA,NA,NA
6,"bottom_decile",621,336,285,304.537803652625,271.16459049988,0.890529991334742,0.00692781658391711,"nodal_risk",TRUE,0.0102177341922301,1.02177341922301,-0.0410543907638258,0.0457416192226095,-4.10543907638258,4.57416192226095,1000,4.10543907638258,FALSE,FALSE,TRUE
6,"risk_lt_5pct",538,299,239,268.428521501861,225.184273072451,0.878599022985456,0.00560213388323852,"nodal_risk",TRUE,0.0154745283310595,1.54745283310595,-0.0393600076881562,0.0551351055212329,-3.93600076881562,5.51351055212329,1000,3.93600076881562,FALSE,FALSE,TRUE
12,"Q1",1152,575,577,538.684445409657,555.082908078251,0.849673520748124,0.00243182500545102,"nodal_risk",TRUE,-0.00934626764666267,-0.934626764666267,-0.0421745372108291,0.0203508372969254,-4.21745372108291,2.03508372969254,1000,4.21745372108291,NA,NA,NA
12,"Q2",1129,491,638,466.18256136295,602.424545382103,0.814277535984432,0.000579398452316585,"nodal_risk",TRUE,-0.0370767721992192,-3.70767721992192,-0.0769671499857771,0.0111412332538642,-7.69671499857771,1.11412332538642,1000,7.69671499857771,NA,NA,NA
12,"Q3",1144,441,703,422.059456751687,651.381983604156,0.865985943640294,0.00228174150411194,"nodal_risk",TRUE,0.00445710588527462,0.445710588527462,-0.0580538909369173,0.0459081448866963,-5.80538909369173,4.59081448866963,1000,5.80538909369173,NA,NA,NA
12,"Q4",1158,384,774,375.917476757159,727.494337099908,0.86380694565361,0.00388073221395383,"nodal_risk",TRUE,-0.0248696831361665,-2.48696831361665,-0.0748320080998012,0.0434439152199624,-7.48320080998012,4.34439152199624,1000,7.48320080998012,NA,NA,NA
12,"Q5",1133,327,806,323.34778664203,774.501346755543,0.833161819894526,0.00242536335402127,"nodal_risk",TRUE,-0.0385017315196897,-3.85017315196897,-0.103526400195013,0.0249512400692661,-10.3526400195013,2.49512400692661,1000,10.3526400195013,NA,NA,NA
12,"bottom_decile",587,314,273,284.149003262263,257.211761653661,0.886283033420011,0.00948109693630639,"nodal_risk",TRUE,0.00660441860724346,0.660441860724347,-0.0406412323984423,0.0511684463705733,-4.06412323984423,5.11684463705733,1000,4.06412323984423,FALSE,FALSE,TRUE
12,"risk_lt_5pct",509,280,229,252.11235056606,215.308714225192,0.882195352317507,0.00740367404664976,"nodal_risk",TRUE,0.0133560977988113,1.33560977988113,-0.039655252902464,0.0549226390037527,-3.9655252902464,5.49226390037527,1000,3.9655252902464,FALSE,FALSE,TRUE
